seller_id,total_price,total_freight,total_orders,avg_review_score,total_revenue
0b90b6df587eb83608a64ea8b390cf07,12131.22,1452.14,68,3.8255813953488373,13583.359999999999
0bae85eb84b9fb3bd773911e89288d54,1657.69,899.66,36,4.342105263157895,2557.35
0bb738e4d789e63e2267697c42d35a2d,641.8,99.5,5,4.8,741.3
0be8ff43f22e456b4e0371b2245e4d01,4283.5,892.81,59,4.045454545454546,5176.3099999999995
0bebbb2cea103a4a020c95d43fd7d754,1367.2,147.14,9,4.888888888888889,1514.3400000000001
0bf0150d5b9d60d9cd2906003332f085,929.3000000000001,196.98000000000002,7,3.75,1126.2800000000002
0c7533c71df861ec58ad7ff999ed0e8d,922.5,233.47,17,4.1,1155.97
0c8380b62e38e8a1e6adbeba7eb9688c,1923.4,641.8,26,3.9,2565.2
0cab2da43793a6f3c5ed8514c5f54627,309.70000000000005,57.2,3,5.0,366.90000000000003
0cbcee27c791afa0cdcb08587a2013a8,2112.15,409.37,17,3.6470588235294117,2521.52
0d33a55da925bbf1ff02af5f6059fc7f,434.6,325.05,16,4.5,759.6500000000001
0d85bbda9889ce1f7e63778d24f346eb,257.7,124.59,3,2.6666666666666665,382.28999999999996
0daf5180aa44356f60f8effa533b55a2,144.8,38.83,2,5.0,183.63
0db783cfcd3b73998abc6e10e59a102f,634.1,119.95,9,4.3,754.0500000000001
0dd184061fb0eaa7ca37932c68ab91c5,14066.92,4444.46,120,4.033333333333333,18511.38
0ddefe3c7a032b91f4e25b9c3a08fca1,402.9,150.0,9,4.5,552.9
0df3984f9dfb3d49ac6366acbd3bbb85,3101.85,516.89,30,4.03125,3618.74
0dfbed20065e425d2eaefb101f9816c0,84.35,49.25,3,2.6666666666666665,133.6
0e44d110fa6a54e121cb2c095a77762f,34.08,8.4,1,5.0,42.48
0e72c1a751b496722a6cb1f10653b62a,140.8,51.300000000000004,3,4.666666666666667,192.10000000000002
0e982cff76cc0579f632cea8a0e38c9d,593.9,72.53999999999999,3,3.5,666.4399999999999
0ea22c1cfbdc755f86b9b54b39c16043,1401.0,677.95,38,4.564102564102564,2078.95
0eaa7e33d73809f1f925f7d07c506cbd,279.0,43.18,3,5.0,322.18
0ebd97a106433a45a4aebe57c1799778,928.9000000000001,200.62,11,4.909090909090909,1129.52
0ec28cec4046a4a199b6de9b4c891d97,296.6,56.04,3,5.0,352.64000000000004
0ed6ce5d87fd9c69eaacaeb778d67235,1280.52,511.34999999999997,32,4.354838709677419,1791.87
0ef83d7d83ed97cd2a0049ac8be5f88a,2132.37,529.79,22,4.12,2662.16
0f0c984a4a955310903b6b6008660bad,369.81,111.57000000000001,4,3.75,481.38
0f7eea709efdf942b5f95c7516dbacd7,195.74,44.32,3,4.0,240.06
0f80a40c312b2472dca482cf50f5186f,129.9,20.1,1,3.0,150.0
0fe2d9733ed841eb064503920015a8c0,389.64,108.71000000000001,3,4.666666666666667,498.35
